ProjectName,Category,Subtitle,AwesomeNearLink,Series,ABBV,Icon,Website Link,Buy Link,Stake Link,DApp Link,Facebook,Twitter,Github,Telegram,Discord,Linkedin,Medium,Other Links,Near Token,Aurora Token,Ethereum Token,Other Tokens,Description,Grants,News Articles
Paras,"DApps,Marketplaces,NFT,OWC","Create, Trade, and Collect Digital Collectibles.",https://awesomenear.com/paras,"TRENDING,NEAR",(PARAS),https://awesome-near.s3.amazonaws.com/paras.jpg,https://paras.id,https://app.ref.finance/#wrap.near|token.paras.near,,,https://www.facebook.com/parashq.digital,https://twitter.com/ParasHQ,,https://t.me/parashq,https://discord.com/invite/vWR2XBNupg,,https://medium.com/paras-media,https://ipfs.fleek.co/ipfs/bafybeihu6atdada45rmx4sszny6sahrzas4tuzrpuufdcpe6b63r6ugdce,https://explorer.near.org/accounts/token.paras.near,,,," Paras, All-in-one social DAC marketplace for creators and collectors. For Collectors: Discover beautiful art cards and collect them on a blockchain-based technology that prevents forgery and provides provable ownership. For Artists: Create your digital art cards and sell them on the marketplace in just a few clicks. Start earning with your digital creation. Investors: Digital Renaissance, Dragonfly Capital Partners, D1 Ventures, Moonwhale Ventures, Black Dragon Capital, GFS Ventures",,https://awesomenear.com/articles/paras-ido-on-skyward-finance;https://awesomenear.com/articles/how-to-do-locked-staking-sign-up-paras-loyalty-raffle
NEARFans,"DAO,Ecosystem,Validators",NEARFans is created by a group of NEAR builders.,https://awesomenear.com/nearfans,NEAR,,https://awesome-near.s3.amazonaws.com/nearfans.jpg,https://nearfans.com/,,https://wallet.near.org/staking/nearfans.poolv1.near,,,,,,,,,,,,,," NEARFans is created by a group of builders — founders, investors, artists, designers, developers, and product managers who have been in crypto industry since 2012. We help each other build projects that will last for a long time. You will not only enjoy the collective brain power, but also connections, partnerships, and resources within the ecosystem. NEARFans governance is driven by decentralized communities.",,
Sender Wallet,"Infrastructure,Wallets",Browser extension wallet built on NEAR.,https://awesomenear.com/senderwallet,NEAR,,https://awesome-near.s3.amazonaws.com/senderwallet.jpg,https://senderwallet.io/,,,,,https://twitter.com/SenderWallet,,https://t.me/sender_community,https://discord.com/invite/9WhejkkbZF,,https://senderwallet.medium.com/,https://docs.senderwallet.io/,,,,," Sender is a browser extension wallet built for NEAR protocol, with the goal of providing a secure and easy-to-use wallet for DeFi and NFT users. The purpose of the documentation is to illustrate how to build a DApp with Sender. Investors: Metaweb Ventures, Binance Labs, Pantera Capital, Crypto.com Capital, Jump Capital, Amber Group, WOO Network, SevenX Ventures, Smrti Labs, D1 Ventures, Puzzle Ventures, Shima Capital, Eniac Ventures, GFS Ventures, Octopus Network, Ref Finance, and Paras",NEAR Grant,https://awesomenear.com/articles/sender-wallet-announces-seed-round-financing-from-binance-labs-and-metaweb-ventures;https://awesomenear.com/articles/sender-announces-partnership-with-ref-finance;https://awesomenear.com/articles/sender-wallet-raises-us-4-5-million-in-private-round-led-by-pantera;https://awesomenear.com/articles/sender-wallet-awarded-50-000-grant-from-near-foundation
MoonPay,"Infrastructure,On/Off Ramps,Payments",Growing the crypto economy.,https://awesomenear.com/moonpay,NEAR,,https://awesome-near.s3.amazonaws.com/moonpay.jpg,https://www.moonpay.io,,,,https://facebook.com/officialmoonpay/,https://twitter.com/moonpay,,,,https://www.linkedin.com/company/moonpay,https://medium.com/@MoonpayHQ,,,,,," Buying cryptocurrencies isn't easy and we think it should be. MoonPay makes the journey simpler, faster and safer for everyone. MoonPay is the new standard for fiat to crypto. We are a marketplace between cryptocurrency exchanges and users facilitating instant non-custodial purchases of major cryptocurrencies. Our mission is to make crypto accessible to everyone. Founded in 2018, MoonPay is working with leading crypto companies to solve the fiat-to-crypto onramp challenge. We offer best-in-class developer tools, including a customizable widget and public APIs, to enable crypto companies to build seamless purchase experiences. MoonPay currently services customers in Europe and UK and plans to expand globally in 2019.",,https://awesomenear.com/articles/moonpay-launches-near-fiat-on-ramp-in-150-countries-worldwide
Burrow,"DApps,DeFi,Lending","Borrow, Supply. Thrive.",https://awesomenear.com/burrow,NEAR,(BRRR),https://awesome-near.s3.amazonaws.com/burrow.jpg,https://burrow.cash/,https://app.ref.finance/#wrap.near|token.burrow.near,,,,https://twitter.com/burrowcash,,https://t.me/burrowcash,https://discord.com/invite/C66aQQ4g8m,,https://burrowcash.medium.com/,https://app.astrodao.com/dao/burrow.sputnik-dao.near,https://explorer.near.org/accounts/token.burrow.near,,,," Burrow is a decentralized, non-custodial pool-based interest rates platform that enables users to supply assets to earn interest, and to borrow against them to unlock liquidity. Burrow is similar in nature to Aave, Compound, and other pool-based protocols. Burrow runs natively on the NEAR blockchain, a layer 1, proof-of-stake, sharded blockchain with a WebAssembly runtime. The Burrow protocol's smart contracts are written in Rust. Burrow aims to unlock liquidity for interest-bearing assets, particularly layer 1 staking derivatives such as stNEAR and stETH. Users of Burrow will be able to deposit stNEAR as collateral, then borrow more NEAR to create a leveraged staking position, or borrow a stablecoin to create a self-repaying position. Investors: Metaweb Ventures, Jump Crypto, DeFi Capital, Mentha Partners, D1 Ventures, ParaFi Capital, SevenX Ventures, Kronos, GFS Ventures, Dragonfly Capital Partners, IOSG Ventures, Lemniscap, MOVE Capital, QCP Capital, Warburg Serres Investments",Proximity Grant,https://awesomenear.com/articles/get-a-mr-brrr-nft-voucher-100-buyback-guarantee;https://awesomenear.com/articles/how-to-burrow-a-step-by-step-user-guide;https://awesomenear.com/articles/burrow-has-been-audited
NEAR University,"Education,Ecosystem","Learn, earn, connect and certify in the NEAR community",https://awesomenear.com/near-education,NEAR,,https://awesome-near.s3.amazonaws.com/near-education.jpg,https://www.near.university/,,,,,https://twitter.com/NEARUniversity,,,,,,,,,,," NEAR is a climate-neutral, high speed & low-cost transaction fee layer 1 blockchain platform -- in other words, software you can trust with your money, identity and ownership. Here at NEAR University you can learn, earn, connect and certify among friends in the NEAR community. World-Class Teachers Sometimes you want the expert answer while other times you just want to be understood. Our teachers include both experts with production experience and recent graduates of our programs. Transformational Courses Whether self-paced, online or in-person, we have created learning experiences that transform. Our courses are designed to launch your learning then get out of your way. Global Student Community Learning is time consuming, challenging and often lonely. Thousands of members of our community are online 24/7 to help you get unstuck, validate an idea or launch a new venture just when you need it. One-on-One Mentorship Getting stuck is frustrating and wastes previous time. Our course structure is designed to provide the support you deserve at the level you require for optimal learning.",,
IPFS,"Dev Tooling,Infrastructure,Storage","A peer-to-peer hypermedia protocol to make the web faster, safer, and more open.",https://awesomenear.com/ipfs,"NEAR,AURORA",,https://awesome-near.s3.amazonaws.com/ipfs.jpg,https://ipfs.io,,,,,https://twitter.com/IPFS,https://github.com/ipfs,,,,,,,,,," A peer-to-peer hypermedia protocol to make the web faster, safer, and more open. HTTP downloads a file from a single computer at a time, instead of getting pieces from multiple computers simultaneously. With video delivery, a P2P approach could save 60% in bandwidth costs. IPFS makes it possible to distribute high volumes of data with high efficiency. And zero duplication means savings in storage. The average lifespan of a web page is 100 days. Remember GeoCities? The web doesn't anymore. It's not good enough for the primary medium of our era to be so fragile. IPFS keeps every version of your files and makes it simple to set up resilient networks for mirroring of data. The Internet has been one of the great equalizers in human history and a real accelerator of innovation. But the increasing consolidation of control is a threat to that. IPFS remains true to the original vision of the open and flat web, but delivers the technology which makes that vision a reality. Developing world. Offline. Natural disasters. Intermittent connections. All trivial compared to interplanetary networking. The networks we're using are so 20th Century. We can do better. IPFS powers the creation of diversely resilient networks which enable persistent availability with or without Internet backbone connectivity. IPFS aims to replace HTTP and build a better web for all of us.",,
MetaMask,"Aurora,Infrastructure,Wallets",A crypto wallet & gateway to blockchain apps.,https://awesomenear.com/metamask,"NEAR,AURORA",,https://awesome-near.s3.amazonaws.com/metamask.jpg,https://metamask.io/,,,,,https://twitter.com/MetaMask,https://github.com/MetaMask,,,,https://medium.com/metamask,https://docs.metamask.io/,,,,," Available as a browser extension and as a mobile app, MetaMask equips you with a key vault, secure login, token wallet, and token exchange—everything you need to manage your digital assets. MetaMask provides the simplest yet most secure way to connect to blockchain-based applications. You are always in control when interacting on the new decentralized web. MetaMask generates passwords and keys on your device, so only you have access to your accounts and data. You always choose what to share and what to keep private.",,https://awesomenear.com/articles/introducing-neth-near-becomes-the-first-non-evm-chain-to-offer-metamask-compatibility;https://awesomenear.com/articles/aurora-partners-with-consensys-metamask-infura-ethereum-tools-near
Sweat Еconomy,"DApps,Gaming,Sports",Walk into crypto.,https://awesomenear.com/sweat-economy,"TRENDING,NEAR",(SWEAT),https://awesome-near.s3.amazonaws.com/sweat-economy.jpg,https://sweateconomy.com/,,,https://sweatco.in/,,https://twitter.com/SweatEconomy,,https://t.me/sweateconomy,https://discord.com/invite/sweateconomy,,,,,,,," With over 13M+ wallets created in four months, the Sweat Wallet is the fastest growing DApp of all time. SWEAT powers the Sweat Wallet App, which is a new Web3 portal for millions of users. Demand for SWEAT comes from i) utility – staking for rewards and yield (net deflationary), gamification, and platform token benefits and ii) buy and burn, which is funded by Sweat Foundation revenue. With no initial investment, any user can download the app and literally ‘walk into crypto’. The Sweat Wallet can become the first crypto wallet for millions of users, which unlocks massive potential for revenue generation via advertizing and transaction fees on in-app features (purchasing crypto with fiat, crypto-crypto exchanges, NFT marketplaces, and more). This revenue will be used to buy and burn the token on the secondary market.",,https://awesomenear.com/articles/near-wallet-rockets-to-over-20-million-users-with-sweat-partnership;https://awesomenear.com/articles/supply-of-sweat;https://awesomenear.com/articles/sweatcoin-partners-with-near-foundation-to-create-a-new-movement-economy;https://awesomenear.com/articles/demand-for-sweat
OnMachina,COMING SOON,Sharded data storage structure.,https://awesomenear.com/onmachina,"COMING SOON,NEAR,AURORA",,https://awesome-near.s3.amazonaws.com/onmachina.jpg,https://machina.storage/,,/articles/introducing-machina-the-worlds-first-proof-of-stake-storage-solution-built-on-near,,,https://twitter.com/OnMachina,,https://t.me/machina_group,,,,,,,,," Machina — is a sharded data storage structure that is designed to provide scalable, cost-efficient, and immediately retrievable information on-chain. Machina leverages the unique properties of Nightshade sharding of NEAR and provides a seamless economic model utilizing stablecoins.",NEAR Grant,https://awesomenear.com/articles/introducing-machina-the-worlds-first-proof-of-stake-storage-solution-built-on-near
NEARWEEK,"Ecosystem,Education,Guilds",Decentralised news sources within the NEAR ecosystem.,https://awesomenear.com/nearweek,NEAR,,https://awesome-near.s3.amazonaws.com/nearweek.jpg,https://nearweek.com/,,https://wallet.near.org/staking/nearweek.pool.near,,,https://twitter.com/NEARWEEK,,https://t.me/nearweek,,https://www.linkedin.com/company/nearweek/,https://medium.com/nearweek,"https://app.astrodao.com/dao/nearweek-news-contribution.sputnik-dao.near,https://docs.nearweek.com/",,,,, NEARWEEK is the one-stop-shop for all NEAR related news. Each weekly newsletter and edition is made possible via news contributions from the NEARWEEK community to the NEWS DAO. Subscribe or visit NEARWEEK.com to get your weekly dose of news from the NEARverse!,NEAR Grant,https://awesomenear.com/articles/explore-the-nearverse-with-nearweek
Pad.Fi,"Aurora,DApps,DeFi,DEX,Exchanges,Launchpads",NearPad. Launchpad & DeFi hub for the NEAR ecosystem. ,https://awesomenear.com/nearpad,AURORA,(PAD),https://awesome-near.s3.amazonaws.com/nearpad.jpg,https://pad.fi/,https://app.ref.finance/#wrap.near|ea7cc765ebc94c4805e3bff28d7e4ae48d06468a.factory.bridge.near,,https://app.nearpad.io/,,https://twitter.com/NearPAD,,https://t.me/nearpad,,,https://nearpad.medium.com/,,https://explorer.near.org/accounts/ea7cc765ebc94c4805e3bff28d7e4ae48d06468a.factory.bridge.near,https://aurorascan.dev/address/0x885f8CF6E45bdd3fdcDc644efdcd0AC93880c781,https://etherscan.io/address/0xea7cc765ebc94c4805e3bff28d7e4ae48d06468a,," A launchpad, DEX Aggregator, and Yield Aggregator all in one. Pad.Fi (NearPAD) is changing the way communities and developers access open finance tools for crowdfunding, asset management, and yield optimization. The platform will also be the first DAO-led protocol on Aurora by giving its community complete control over how treasury and public funds are utilized for the ecosystem. Investors: Open Web Collective, ExNetwork, Ellipti, Genblock Capital, NGC Ventures, Ankr, LD Capital, Supernova Fund, Flow Ventures",,https://awesomenear.com/articles/nearpad-closes-2m-seed-funding-round
KYVE,"Dev Tooling,Infrastructure,Storage",Enabling limitless scalability for Web3.,https://awesomenear.com/kyve,NEAR,,https://awesome-near.s3.amazonaws.com/kyve.jpg,https://www.kyve.network/,,,,,https://twitter.com/KYVENetwork,https://github.com/KYVENetwork,https://t.me/kyvenet,https://discord.com/invite/E73KZwaa4S,,,https://blog.kyve.network/,,,,," KYVE is a decentralized archiving and caching solution that allows modern blockchains and decentralized applications (dApps) to store and serve data reliably. Our mission is quite ambitious but necessary: as fierce advocates of Web 3.0, we want to help projects reach infinite scalability by reliably and permanently storing their data.",,https://awesomenear.com/articles/near-partners-with-kyve-to-bring-permanent-storage-to-ecosystem
Ledger,"Infrastructure,Wallets",Protect crypto assets with the most popular hardware wallet.,https://awesomenear.com/ledger,NEAR,,https://awesome-near.s3.amazonaws.com/ledger.jpg,https://www.ledgerwallet.com/,,,,https://www.facebook.com/Ledger,https://twitter.com/Ledger,https://github.com/LedgerHQ,,,,https://medium.com/ledger-on-security-and-blockchain,,,,,, Protect your crypto assets with the most popular hardware wallet in the market. Ledger Wallet is a smartcard based Bitcoin hardware wallet bringing maximum protection level to your bitcoins without sacrificing usability or control.,,
Learn NEAR Club,"Ecosystem,Education",Learn how to use and build on NEAR and Earn NEAR.,https://awesomenear.com/learn-near,"TRENDING,NEAR",,https://awesome-near.s3.amazonaws.com/learn-near.jpg,https://learnnear.club/,,,,,https://twitter.com/LearnNear,https://github.com/Learn-NEAR-Club,https://t.me/LearnNEARClub,,https://www.linkedin.com/company/learn-near-club,,,,,,," Learn NEAR Club is all inclusive hands-on onboarding machine to NEAR Protocol – connecting NEAR Ecosystem projects to pro-active community members via (L)Earn method. nLEARNS are Learn NEAR Club internal points powering (L)Earning economy. nLEARNS are NOT tokens and do NOT have monetary value. The ultimate use case of nLEARNs is Proof of (L)Earn. Any (L)Earner history can be verified so community members or projects can get an idea about how consistent is the learning progress. This NEAR Certified Developer course is an opportunity for web developers to earn a Certificate of Completion that represents the ability to design, develop, test and deploy smart contracts on the NEAR platform – NEAR Certified Developer (NCD).",,
Meta Pool,"DApps,DeFi",Liquid Staking Protocol built on NEAR.,https://awesomenear.com/meta-pool,"TRENDING,NEAR,AURORA",(META),https://awesome-near.s3.amazonaws.com/meta-pool.jpg,https://metapool.app/,,,https://metapool.app/dapp/mainnet/meta/,,https://twitter.com/meta_pool,https://github.com/Narwallets/meta-pool,,https://discord.com/invite/NJ7A2r2U8g,https://www.linkedin.com/company/meta-pool/,https://medium.com/@meta_pool,,https://explorer.near.org/accounts/meta-token.near,https://aurorascan.dev/address/0xc21ff01229e982d7c8b8691163b0a3cb8f357453,,," Meta Pool is the liquid staking solution for NEAR and wNEAR token holders.  Users staking NEAR and wNEAR with Meta Pool receive in exchange a NEP-141 standard token, stNEAR (staked NEAR). The stNEAR token simultaneously accrues staking rewards and unlocks users’ liquidity enabling them to participate in DeFi activities (e.g. lending, farming, borrowing) on NEAR and Aurora. Meta Pool solves the problems associated with PoS networks staking (illiquidity, immovability and accessibility) and also aims to distribute staking in multiple validators to improve censorship-resistance of the NEAR network. Investors: Narwallets, D1 Ventures, SkyVision Capital, A&T Capital, BlockWall, Dragonfly Capital Partners, MOVE Capital",NEAR Grant,https://awesomenear.com/articles/near-foundation-embraces-liquid-staking-by-committing-1-5-million-near-to-meta-pool;https://awesomenear.com/articles/fundraising-through-liquid-staking-with-meta-yield;https://awesomenear.com/articles/rated-pools-pools-designed-for-yield-bearing-tokens;https://awesomenear.com/articles/details-of-the-meta-pool-ido;https://awesomenear.com/articles/guide-to-stnear-and-liquid-staking-near-native-token;https://awesomenear.com/articles/meta-pool-is-live-on-near-mainnet
